time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	2.12285e-314	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.45555	0.247508	0	0	0	lidar	2.12285e-314	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.48299	0.248242	-0.0052629	0	0	radar	0.00458186	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.47618	0.250215	-0.0052629	0	0	lidar	2.12285e-314	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.46216	0.24982	-0.623652	0.000109449	0	radar	2.29807	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.42504	0.250184	-0.623652	0.000109449	0	lidar	2.12285e-314	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.35131	0.246558	-1.41301	0.0249247	0	radar	8.34553	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	8.28762	0.230461	-1.41295	0.0249228	0	lidar	2.12285e-314	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	8.21035	0.228231	-1.74017	0.0247637	0	radar	3.42918	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	8.1434	0.218167	-1.74006	0.0247619	0	lidar	2.12285e-314	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	8.08435	0.216397	-1.82711	0.0245957	0	radar	0.711208	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	8.02279	0.19191	-1.82697	0.0245939	0	lidar	2.12285e-314	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.95888	0.190255	-1.97875	0.022227	0	radar	1.92248	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.89455	0.161447	-1.97858	0.0222254	0	lidar	2.12285e-314	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
